Comment,Designator,Footprint,LCSC
10uF 50V,"C1,C3,C4,C12,C13,C42,C43,C48,C49",1206_C,C13585
24pF,"C11,C30,C31",0603_C,C1654
47uF 10V,"C2,C5,C10,C14",1206_C,C94034
4.7uF 35V,"C20,C21,C33",0603_C,C162274
47n 50V,C22,0603_C,C1622
100p 50V,"C24,C25",0603_C,C14665
4.3pF,"C28,C29",0603_C,C59526
2u2 6.3V,"C38,C39,C54,C55,C70,C71",0603_C,C71000
10uF 50V,"C46,C47,C62,C63,C78,C79",0603_C,C194427
100n 16V,"C6,C19,C23,C26,C27,C32",0603_C,C66501
100nF 50V,"C7,C8,C34,C35,C40,C41,C44,C45,C50,C51,C56,C57,C60,C61,C66,C67,C72,C73,C76,C77",0603_C,C30926
22nF 50V,"C9,C36,C37,C52,C53,C68,C69",0603_C,C105620
SS34,"D1,D2,D3",SMA(DO-214AC),C266553
NUP2105L,"D4,D5",SOT-23,C284104
1N5819,"D6,D7",SMA(DO-214AC),C437199
LED,D8,0603,C72044
Fuse,F1,1206,C48332
Conn_01x04,J_power_button1,"SMD,P=2mm",C160354
FAUL0420-100MT,L1,Footprints:inductor,C3040387
NCE60P12K,Q1,"SMD,4.4x4.2x1.8mm",C326372
2N3904S-RTK,Q2,SOT-23,C18536
AO3401A,"Q3,Q5",SOT-23,C306862
10K,"R1,R6,R9,R11,R14,R16,R25,R28,R29,R36,R38,R46,R48,R56,R58,R64,R68,R69,R74,R75,R84,R86,R87,R88,R91,R92",0603_R,C98220
1K74,"R10,R82,R97,R98",0603_R,C227660
60.4R,"R12,R13,R19,R20",0603_R,C237752
0R,"R2,R15,R17,R18",0603_R,C21189
220K,R23,0603_R,C22961
220,"R27,R65,R66,R81,R83",0603_R,C107696
100K,"R3,R21,R24,R26,R60,R62,R67,R70,R72,R77,R79,R95",0603_R,C14675
33K,"R37,R39,R47,R49,R57,R59",0603_R,C126359
16K,"R4,R22,R61,R63,R71,R73,R76,R78,R80,R96",0603_R,C310270
Termistor 10k,R5,0402_R,C77131
20K,"R7,R30,R31,R32,R33,R34,R35,R40,R41,R42,R43,R44,R45,R50,R51,R52,R53,R54,R55",0603_R,C105575
50K,R8,0603_R,C304067
90m,"Rsense1,Rsense2,Rsense3,Rsense4,Rsense5,Rsense6,Rsense7,Rsense8,Rsense9,Rsense10,Rsense11,Rsense12",2512_R,C2985729
AMS1117-3.3V,U1,SOT-223-3L,C2688239
PC817C,"U14,U15,U16,U18",SMD-4P,C3025164
TPS54231DR,U2,SOIC-8,C28023
STM32F446RET6,U3,LQFP-64(10x10),C69336
SP485EEN-L/TR,U4,SOIC-8,C6855
MCP2551T-I/SN,U5,SOIC-8,C49558
W25Q64FV,U6,SOIC-8-208mil,C2943203
TMC2209,"U7,U8,U9,U10,U11,U12",QFN-28-EP(5x5),C465949
Crystal,Y1,MC-306,C252402
Crystal_GND24,Y2,SMD5032-4P,C254382
